BETON GAMES,480
BFF Games,481
BGC Editora,482
BGD Board Game Distribution,483
BGNations,484
BHS Games,485
BIS Publishers,486
BK,487
BLAM !,488
"BLM Games, Inc.",489
BNKB Games,490
BOARD TO DEATH,491
BOOM Editions,492
BREMEN Games,493
BS Toys,494
BSO Games,495
BSiri Business,496
BTR Games,497
BV Leisure Ltd,498
BYR Games,499
Baba Geek Games,500
Baborka Games,501
Bacardi Limited,502
Baccum Inc.,503
Back Alley Games,504
Backspindle Games Ltd.,505
Bad Comet,506
Bad Crow Games,507
Bad Taste Games,508
BadCat Games,509
Badger's Nest,510
Badgers from Mars,511
Bag of Bonz,512
Bag-O-Loot,513
Bagolyvár Kiadó,514
BakaFire Party,515
Baksha Games,516
Balance Games,517
Baldar,518
"Ball Park, Inc.",519
Balls Out Entertainment,520
Baloise Group,521
Bambola,522
Bambolino toys,523
Bambus Spieleverlag,524
Banana Games,525
"Bananagrams, Inc.",526
Bandai,527
"Bandai España, S. A.",528
Banketbakkerij,529
Bankiiiz Editions,530
Bannan Games,531
Banner Of War,532
Baolin,533
Bar-Zim,534
"Baranarab Innovations, Inc.",535
Baravelli,536
Bard Centrum Gier,537
Barking Spider,538
Barnes & Noble,539
Barrel Aged Games,540
Barrett Publishing,541
Barry & Jason Games and Entertainment,542
Bart Smit,543
Bartl,544
Base Toys,545
Basic Concepts,546
"Basic Fun, Inc.",547
Baskerville Productions,548
"Bates Games, Inc.",549
Battle Bunker Games,550
Battle Hardened Games,551
Battle Systems Ltd,552
BattlePlay,553
Battlefront Miniatures Ltd,554
Battlefront.com,555
Battleline,556
Battles Magazine,557
Battlespace Games,558
Battlezone,559
Baxbo LLC,560
Bayerwald Spiele,561
Bazoo Global,562
Be Good Company,563
BeWitched Spiele,564
Beacon Multimedia S.A.,565
"Bear & Bandit, LLC",566
Bearded Board Games,567
Beardshaker Games,568
Beardy Brothers,569
Beautiful Africa,570
Beautiful Disaster Games,571
Bed Beard Games,572
Bedbug Games,573
Bedsit Games,574
Beer & Pretzel Games,575
Beholder Kft.,576
Beleduc,577
Bell,578
Bell and Curfew,579
Bell's,580
Bella Spencer Games,581
Bellica Third Generation,582
"Bello Games New York, Inc.",583
Bellwether Games,584
Belmonte,585
Belser (Kosmos),586
Ben Sanders Co.,587
Benassi Enterprises,588
Bendon,589
Benesse,590
Bengt D. Bengtsson förlag,591
Bensussen Deutsch and Associates,592
Bent Castle Workshops,593
Bentino GmbH,594
Berea College Crafts,595
Bergsala Enigma (Enigma),596
Bergsma,597
Berliner Spielkarten,598
Bernard Games L.L.C.,599
Berserkr Jogos,600
Berwick's Toy Co. Ltd.,601
Best EPE,602
Betal Games,603
"Bethesda Softworks, LLC",604
"Beverly Enterprises, Inc.",605
Bevink Edities,606
Bex Sport AB,607
Bezzerwizzer ApS,608
Bianfeng Games,609
Bibelot Games,610
Bible Games Central,611
BibleQuest,612
Bico de Lacre,613
Bielefelder Spielkarten,614
Bienengräber,615
Bierregion-Franken.de,616
Big Bad Wolf,617
Big Box,618
Big Fun,619
Big Fun A Go Go,620
Big Fun Games (Board Game),621
Big G Creative,622
Big Imagination Games,623
Big Kid Games,624
Big League Promotions Corp.,625
Big Potato,626
Big Punch Studios,627
"Big Toe Games, Inc.",628
BigRedBat Ventures,629
"Bigfoot Games, LLC",630
Bijenkorf,631
Bill Leeson,632
Bin'Fa,633
Binary Arts,634
Bink Ink LLC,635
Bioviva,636
Birdcage Press,637
Birdwood Games,638
Birjan,639
Birkel Teigwaren GmbH,640
Biserka,641
Bisonte,642
Bits & Pieces,643
Biyigames,644
Bizak,645
Bizerba,646
Black & White Games,647
Black Beacon Games,648
Black Book Éditions,649
Black Box Adventures,650
Black Box Games Publishing,651
Black Box Work,652
Black Dove Games,653
Black Dragon Press,654
Black Forest Studio,655
Black Industries,656
Black Key Games,657
Black Light Games,658
Black Locust Games,659
Black Mamba Games,660
Black Monk,661
Black Oak Games,662
Black Sea Games,663
Black Straw Games,664
Black Tea Studios,665
Black'N'White Games Ltd.,666
BlackSands Games,667
Blackbody Lab,668
Blacklist Games,669
"Blackout Games, LLC",670
Blackout Spiele,671
Blackrock Games,672
Blacksburg Tactical Research Center,673
Blair Arts Ltd.,674
Blake Enterprises,675
Blakjax,676
BlankMediaGames LLC,677
Blast City Games,678
Blatz,679
Blauberry,680
Bleem Divertissements Inc.,681
Blind Ferret Entertainment,682
BlindLuck Studios,683
Blizzard Entertainment,684
Block House Inc,685
Blood & Cardstock Games,686
Bloom Games (Korean),687
"Blue & Red Box, UK Ltd.",688
Blue Beard Entertainment,689
Blue Cocker Games,690
Blue Dolphin Games,691
Blue Fox Games,692
Blue Kabuto,693
Blue Magpie Games,694
Blue Opal,695
Blue Orange (EU),696
Blue Orange Games,697
Blue Panther,698
Blue Sky Enterprises,699
Blue Sky Inc.,700
Blue Terrier Press,701
Blue Wasatch Games,702
Blue Wing Games,703
Blue Zebra,704
Bluebird Games,705
Bluebird Toys,706
Bluepiper Studio,707
Bluestar,708
Bluw,709
Boar-Game Studio,710
Board Game Box,711
Board Game Brothas,712
Board Game Circus,713
Board Game Hub,714
Board Game Leisure,715
Board Game Rookie,716
Board Game VN,717
Board Not Bored Games,718
Board Zeppelin,719
Board and Tale Games Inc.,720
Board&Dice,721
BoardBros,722
BoardGameGeek,723
BoardGameTables.com,724
BoardGameTravel.com,725
BoardM Factory,726
Boardcubator,727
Boardgame Guerilla,728
Boardgame Mall,729
Boardgame Racoon,730
Boardgame Space,731
"Boardroom Productions, Ltd.",732
"Boardwalk Design, Inc.",733
Boardworks Games,734
Boat City,735
BocksVerlag,736
Boda Brothers,737
Boehringer Ingelheim,738
Boerenleenbank,739
Bohemia,740
"Bojeux, Inc.",741
Bomba Games,742
Bomber,743
Bombshell Games,744
Bombyx,745
Bonaparte,746
BoneGames,747
Bonsai Entertainment,748
Bonsai Games,749
Book Ranger,750
Bookmark Verlag,751
Boom Boom Games,752
BoomBox BoardGames,753
Boosterbox.nl,754
Borderline Editions,755
Bored Game Ink,756
Borras Plana S.A.,757
Borzag Games,758
Bouken,759
Bowman Games,760
"Box of Golf, Inc.",761
Boxed Lightning,762
Boxer Games,763
Boy's Own Paper,764
Bozart Toys,765
Boîte de Jeux,766
Bragelonne Games,767
Brain Candy Games,768
Brain Games,769
Brain Games Germany,770
Brain Picnic,771
Brain Punch Games,772
Brain Star,773
"Brain-ed, Ltd.",774
BrainBrainGames,775
Brainbox Games Pty Ltd,776
"Braincog, Inc.",777
Braincrack Games,778
Braine Games,779
"Brainstorm Games, Inc.",780
Brainteasers,781
Brainwright,782
Brand Makers International,783
Brando Gameworks,784
Brandstätter Group,785
Braunkohl Verlag,786
Bravely Told Games,787
Bread and Circuses,788
Break From Reality Games,789
Breaking Games,790
Brettco Inc.,791
Brevete S.G.D.G.,792
Briarpatch,793
BrickWarriors,794
Bright Eye Games,795
Bright Light Games,796
Bright Light Media,797
Bright World Games,798
Brightway Products Ltd,799
Brinquedos Junges,800
Brinquedos Rei,801
Brinquedos Toia,802
Brio AB,803
Britannia Games,804
Brite Power International Ltd,805
British Games Ltd (BGL),806
British Gas,807
Broadway Toys LTD,808
Broderbund,809
Brohm-Parker-Spiele,810
Broken Mill,811
Broman/Percepta Corporation,812
Brooke Bond - PG Tips,813
Brookhurst Hobbies,814
Brooklyn Indie Games,815
Brookspun Games,816
Brookstone,817
Broomstick Monkey Games,818
Brote de Juegos,819
Brotherwise Games,820
Brouhaha Games,821
BrownCastle Games,822
Brybelly,823
Brädspel.se,824
Brändi,825
Bräuner Produktmanagement,826
Brückner Spiele,827
Bucaneiros Jogos,828
Bucephalus Games,829
"Buch und Zeit Verlagsgesellschaft m.b.h., Köln",830
Buchclub,831
Buckingham Toys,832
Buena Vista Home Video,833
Buffalo Games,834
Buffalo Grill,835
Built-Rite,836
Buki Toys,837
Buly Games,838
Bumble3ee Interactive,839
Burbank Toys,840
Bureau Boek en Jeugd,841
Bureau de Juegos,842
Buried Without Ceremony,843
Burley Games,844
Burning Games,845
Burnt Island Games,846
Burnt Toast Publishing,847
Buró,848
Buschfunk,849
Bushbaby Games,850
Bushiroad Inc.,851
Bushiroad South East Asia Pte. Ltd.,852
Button Shy,853
Buzzy Games,854
Bézier Games,855
Bütehorn Spiele (Buchholz Verlag),856
Bączek,857
C and J Toys Inc,858
C in C,859
"C-ME, LLC",860
C. Blumhardt & Cie,861
C. G. Vogel,862
C.R. Gibson,863
C.W. Faulkner & Co,864
"C3, Inc.",865
C4 / Creative Cell,866
CAP Games,867
CARDZ,868
CASA Consultors i Arquitectes SL,869
CBN Razor Company AB,870
"CBS Broadcasting, Inc",871
CBS Electronics,872
CCI India,873
CCP Games / CCP hf (Crowd Control Productions),874
CD Projekt RED,875
CDP.pl,876
CEFA (Celulosa Fabril S. A.),877
CEJI,878
CEPIA Games,879
CES,880
CGC Games,881
CGS- Creative Games Studio,882
CHH Games,883
CMK Partners,884
CMON Global Limited,885
CMX Games,886
CMYK,887
CO-5,888
COLON ARC,889
CREATURES Games,890
CSE Games,891
CZ Cloud Soft Co. Ltd,892
CZ Games,893
Cacahuete Games,894
Cackleberry Games,895
Cactus Game Design,896
Cadaco,897
Cafe Games,898
CafeMoka Studio,899
Caffaro Hnos,900
Café Viereck,901
Caja Duero,902
Calamity Games,903
Calco Games,904
Caldwell Gameworks,905
"Caledea, LLC",906
Californian Products,907
Callao,908
Callaway,909
Calliope Games,910
Cambridge Games Factory,911
Cameo Games,912
Canada Games,913
Canadian Wargamers Group,914
Candlewick Press,915
Canons en Carton,916
Canopus Consultancies,917
Cantrip Games,918
"Canvas Temple Publishing, LLC",919
"Capcom Co., Ltd.",920
Caper Games,921
Capital Gains Studio,922
Capital Games Ltd,923
Capiépa - Jeux Éducatifs,924
Cappelen,925
Capri,926
Capsicum Games,927
Capstone Games,928
Capstone HK Ltd.,929
Captain Macaque,930
Caracol Juegos de Mesa,931
Caravel Games,932
Card Castle,933
Card Sharks,934
Card World,935
CardChess International,936
CardLords,937
Cardboard Alchemy,938
Cardboard Dynamo,939
Cardboard Edison,940
Cardboard Fortress Games,941
Cardboard Island Games,942
Cardinal,943
Cardium Games Ltd.,944
Cards Against Humanity  LLC,945
Cards Inc,946
Cards of Fate,947
"Caribou Mountaineering, Inc.",948
Carl Weible KG,949
Carl Werner,950
Carlit,951
Carlo Coriolani,952
Carls Stenders Kunstforlag,953
Carlsberg,954
Carlton Books,955
Carma Games,956
Carolina Biological Supply Company,957
Carpe Diem Games,958
Carpe Omnis Games,959
Carrera Tabletop Games,960
Carreras Cigarette Cards,961
Carrom Art,962
Carrom Company,963
Carrom-Archarena Company,964
Carson-Dellosa Publishing,965
Carstens-Holzspielzeug,966
Cartamundi,967
Casa Estanciero S.R.L.,968
Casasola,969
Casdon,970
"Cashflow Technologies, Inc.",971
Casper,972
Castillo Games,973
Castle Classics,974
"Castle Games, Inc.",975
Castle Productions,976
Castrol,977
Casual Dragon Games,978
Casus Belli,979
Cat Quartet Games,980
CatDragon Games,981
CatImperium,982
Catalan Games,983
Catalyst Game Labs,984
Catan GmbH,985
Catan Studio,986
Catch Time Studio,987
Catch Up Games,988
Cathay,989
Cathay Pacific,990
Cation Arts,991
Catullus,992
Cavalcade Games,993
"Cayro, the games",994
Ceilikan Jogos,995
Celador,996
Cell Entertainment AB,997
Ceméa,998
Center Parcs,999
CentroCoop,1000
Cephalofair Games,1001
Cerebrer Games,1002
Certifiable Studios,1003
Chad Valley Co Ltd.,1004
Chadwick Miller Inc.,1005
ChagaChaga Games,1006
Challenge Master Game Co Ltd,1007
Challenge sprl,1008
Chancegamer LLC.,1009
Channel Craft,1010
Chaos Publishing,1011
Chaos in Motion,1012
Chaosium,1013
Char-Donn Creative Marketing,1014
Chara Games,1015
Character Games LTD,1016
Charbanova,1017
Charles E. Tuttle Co.,1018
Charm-City-Games,1019
Chas Goodall & Sons Ltd,1020
Chase Games Inc.,1021
Chateau,1022
Cheap Sheep Games,1023
Cheapass Games,1024
Cheatwell Games,1025
Cheeky Dingo Games,1026
Cheeky Parrot Games,1027
Cheese Weasel Logistics,1028
Chelona,1029
Chemoplast Brno,1030
Cherry Picked Games,1031
Chess Geeks,1032
ChessUSA,1033
Chessapeak Games,1034
Chessex,1035
Chetart,1036
Chiaos Creative,1037
Chick-Fil-A,1038
Chickapig Farm,1039
Chicken Dice Games (チキンダイスゲームズ),1040
Chieftain Products,1041
Chiefton Products Ltd.,1042
Child's Play (International) Ltd,1043
Children's Television Workshop,1044
Childswork Childsplay,1045
Chili Spiele,1046
Chilifox Games,1047
Chinese Arts & Crafts,1048
Chinook Games,1049
Chip Theory Games,1050
Chipco Games,1051
Chivalry Games,1052
Chiveus,1053
Chocolate Pi Games,1054
Choo Choo Games,1055
Chris Lawson,1056
Christian Janicot,1057
Christine Bonneton,1058
Chronicle Books,1059
Chronicle Games (Board Game),1060
Chrononauts Games,1061
Chun Yee Toy Factory,1062
Chupa Chups,1063
Chèvre Edition,1064
Cincinnati Game Co.,1065
"Cinelinx Media, LLC",1066
Cinnamon Games,1067
Cipher Studios,1068
Circa Circa,1069
Circle 3D6,1070
Circoctel,1071
Circuit Works,1072
Cirondo Games Company Limited,1073
Citadel UK,1074
Citadel's Game Series (CGS),1075
Citizen Games,1076
City Centrum Zwolle,1077
City Marketing Group,1078
Clarendon Games,1079
Clark & Sowdon,1080
Clarkson Potter,1081
Clash of Arms Games,1082
"Class Struggle, Inc.",1083
Classic Games,1084
Classic Toys,1085
Classical Historian,1086
Claxon,1087
Clay Crucible Games,1088
Clear Conscience Gaming (CCG),1089
Clem Toys,1090
Clemens Gerhards,1091
Clementoni,1092
"Cleveland Kids, LLC",1093
Clever Mojo Games,1094
Clever Unicorn Games,1095
Clevergreen Board Games,1096
Clicker Spiele,1097
Clifford Toys,1098
Climax Print.,1099
Clipper,1100
Clipper Games Ltd,1101
Clockwise,1102
Clockwork Colossus Games,1103
Close Simulations,1104
Closet Full of Games,1105
Closet Nerd Games,1106
Clou,1107
Cloud Games,1108
Cloud Island,1109
Cloud Kingdom Games,1110
"Cloudbreak Games, LLC",1111
Clover,1112
Clown Games,1113
Club Earth,1114
Club Pour Vous Madame,1115
Club TreEmme,1116
"Clutch Hobbies, LLC",1117
Co Ma,1118
CoCoCo,1119
CoSi,1120
"Coach House Games, Inc.",1121
Cobblestone Games,1122
Coca-Cola,1123
